lon,lat,vs30,z1pt0,z2pt5,vs30measured
74.38430,42.81755,4.552343E+02,2.852228E+02,1.090668E+00,0
74.38421,42.82656,4.034499E+02,3.514447E+02,1.252247E+00,0
74.38412,42.83556,3.585268E+02,4.040678E+02,1.433313E+00,0
74.38403,42.84457,3.381932E+02,4.251237E+02,1.532318E+00,0
74.38395,42.85357,3.231207E+02,4.393662E+02,1.614360E+00,0
74.38386,42.86258,3.065220E+02,4.536084E+02,1.714752E+00,0
74.38377,42.87158,3.021004E+02,4.571401E+02,1.743494E+00,0
74.38368,42.88059,2.964260E+02,4.615092E+02,1.781727E+00,0
74.38359,42.88959,2.988313E+02,4.596797E+02,1.765330E+00,0
74.38350,42.89860,2.966027E+02,4.613761E+02,1.780513E+00,0
74.38341,42.90760,2.864282E+02,4.687601E+02,1.853051E+00,0
74.38332,42.91661,2.857486E+02,4.692325E+02,1.858095E+00,0
74.38323,42.92561,2.907860E+02,4.656696E+02,1.821316E+00,0
74.38314,42.93462,2.956295E+02,4.621077E+02,1.787221E+00,0
74.38305,42.94362,2.932736E+02,4.638571E+02,1.803655E+00,0
74.38296,42.95263,2.866192E+02,4.686269E+02,1.851639E+00,0
74.38287,42.96163,2.852133E+02,4.696024E+02,1.862084E+00,0
74.38278,42.97064,2.784110E+02,4.741643E+02,1.914222E+00,0
74.38269,42.97964,2.713337E+02,4.786344E+02,1.971449E+00,0
74.38260,42.98864,2.729540E+02,4.776358E+02,1.958065E+00,0
74.38251,42.99765,2.655543E+02,4.820786E+02,2.020608E+00,0
74.38242,43.00665,2.535437E+02,4.886563E+02,2.130478E+00,0
74.38233,43.01566,2.384938E+02,4.958340E+02,2.284966E+00,0
74.38224,43.02466,2.469526E+02,4.919420E+02,2.195652E+00,0
74.38215,43.03367,2.674328E+02,4.809793E+02,2.004379E+00,0
74.38206,43.04267,2.925479E+02,4.643895E+02,1.808774E+00,0
74.38197,43.05168,2.805709E+02,4.727440E+02,1.897373E+00,0
74.38188,43.06068,2.703501E+02,4.792337E+02,1.979656E+00,0
74.38179,43.06969,3.036106E+02,4.559463E+02,1.733577E+00,0
74.38169,43.07869,3.226062E+02,4.398307E+02,1.617305E+00,0
74.38160,43.08769,2.810604E+02,4.724186E+02,1.893593E+00,0
74.38151,43.09670,2.890555E+02,4.669099E+02,1.833796E+00,0
74.39767,42.70056,6.448575E+02,9.309161E+01,7.322966E-01,0
74.39758,42.70956,6.228604E+02,1.081114E+02,7.619572E-01,0
74.39750,42.71857,6.270082E+02,1.051299E+02,7.561938E-01,0
74.39741,42.72757,6.675852E+02,7.953615E+01,7.038466E-01,0
74.39732,42.73658,6.792178E+02,7.331712E+01,6.900734E-01,0
74.39723,42.74558,6.850618E+02,7.036600E+01,6.833431E-01,0
74.39715,42.75459,9.000000E+02,1.545801E+01,5.001037E-01,0
74.39706,42.76359,7.827269E+02,3.512892E+01,5.867097E-01,0
74.39697,42.77260,6.584053E+02,8.478117E+01,7.150843E-01,0
74.39688,42.78160,7.268542E+02,5.232357E+01,6.385837E-01,0
74.39680,42.79061,7.120565E+02,5.813271E+01,6.537880E-01,0
74.39671,42.79961,5.918075E+02,1.327274E+02,8.078654E-01,0
74.39662,42.80862,3.905675E+02,3.672349E+02,1.299610E+00,0
74.39653,42.81762,3.845854E+02,3.744006E+02,1.322763E+00,0
74.39645,42.82662,3.647766E+02,3.972058E+02,1.405253E+00,0
74.39636,42.83563,3.442988E+02,4.190150E+02,1.501272E+00,0
74.39627,42.84463,3.205508E+02,4.416718E+02,1.629174E+00,0
74.39618,42.85364,3.132869E+02,4.479905E+02,1.672459E+00,0
74.39610,42.86264,3.059177E+02,4.540977E+02,1.718628E+00,0
74.39601,42.87165,3.060481E+02,4.539922E+02,1.717791E+00,0
74.39592,42.88065,3.015482E+02,4.575735E+02,1.747146E+00,0
74.39583,42.88966,2.964656E+02,4.614795E+02,1.781456E+00,0
74.39575,42.89866,2.885907E+02,4.672402E+02,1.837175E+00,0
74.39566,42.90767,2.853367E+02,4.695174E+02,1.861163E+00,0
