taxonomy,Lon,Lat,BALoccupants,BALoccupantsSTD,BALstructural,BALstructuralSTD,BELoccupants,BELoccupantsSTD,BELstructural,BELstructuralSTD,CHoccupants,CHoccupantsSTD,CHstructural,CHstructuralSTD,EAoccupants,EAoccupantsSTD,EAstructural,EAstructuralSTD,NFoccupants,NFoccupantsSTD,NFstructural,NFstructuralSTD,SToccupants,SToccupantsSTD,STstructural,STstructuralSTD,SFoccupants,SFoccupantsSTD,SFstructural,SFstructuralSTD,SUoccupants,SUoccupantsSTD,SUstructural,SUstructuralSTD,ISKoccupants,ISKoccupantsSTD,ISKstructural,ISKstructuralSTD,ISHAMoccupants,ISHAMoccupantsSTD,ISHAMstructural,ISHAMstructuralSTD
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.5906,42.9452,0.0181303,,133368.0,,0.18102200000000002,,744999.0,,0.426634,,1399900.0,,0.16228599999999999,,679261.0,,1.52825,,3626550.0,,0.6652170000000001,,1952510.0,,0.32077,,1126250.0,,0.0155452,,119885.0,,1.0433700000000001,,2733210.0,,1.034,,2714770.0,
CR+PC/LFLS+DUC/FC/HBET:5-9,74.6087,42.943,0.00230549,,30950.2,,0.028184300000000002,,117338.0,,0.0987003,,235056.0,,0.0377718,,135586.0,,0.414538,,572255.0,,0.171801,,328676.0,,0.08099110000000001,,208220.0,,0.00307583,,36336.1,,0.306169,,473600.0,,0.30506500000000003,,472482.0,
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.6087,42.943,0.00709909,,17653.8,,0.0719754,,81521.2,,0.21516500000000002,,169794.0,,0.09256189999999999,,95393.1,,0.718441,,392981.0,,0.346292,,236397.0,,0.180573,,149917.0,,0.00932936,,21231.5,,0.563765,,333027.0,,0.562049,,332303.0,
CR+PC/LWAL+DUC/FC/HBET:1-16,74.6087,42.943,0.00104209,,20896.4,,0.0176185,,114106.0,,0.0641895,,243749.0,,0.020043099999999998,,120023.0,,0.482966,,863862.0,,0.122475,,363226.0,,0.0461255,,197565.0,,0.0007189410000000001,,16675.7,,0.239207,,552836.0,,0.23821900000000001,,551353.0,
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.6087,42.943,2.6608699999999997e-09,,60.6125,,8.99515e-06,,1374.99,,9.43224e-05,,5323.65,,1.13724e-05,,1538.87,,0.00255319,,50247.5,,0.00027223,,10545.2,,5.6216400000000006e-05,,3835.99,,0.0,,37.9429,,0.000755009,,21192.3,,0.000750091,,21095.1,
CR+CIP/LFM+DUC/FC/HBET:1-7,74.6087,42.943,0.0119178,,94668.5,,0.12350699999999999,,380213.0,,0.356533,,724522.0,,0.135225,,395312.0,,1.76393,,2097370.0,,0.603907,,1019590.0,,0.270011,,604069.0,,0.00872577,,79419.1,,1.0293299999999999,,1454190.0,,1.0259200000000002,,1450900.0,
MUR+MOCL/LWAL+DNO/FC/HBET:1-2,74.6087,42.943,0.000266082,,9208.39,,0.00233735,,53961.7,,0.00602282,,114349.0,,0.0025185,,56725.9,,0.0231358,,333656.0,,0.00953999,,165216.0,,0.00469083,,93252.6,,0.000198067,,7266.81,,0.0149798,,236676.0,,0.0149381,,236148.0,
MUR+ADO/LWAL+DNO/FW/HBET:1,74.6087,42.943,0.00126956,,2196.6,,0.0101016,,10641.5,,0.0243671,,20630.0,,0.0107901,,11079.2,,0.0822479,,52278.2,,0.0371845,,28512.1,,0.0192924,,17198.8,,0.0009566,,1782.79,,0.055944799999999996,,38979.2,,0.055804099999999995,,38903.6,
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.6087,42.943,0.00678042,,54795.4,,0.061992099999999994,,271106.0,,0.163236,,540922.0,,0.0669961,,283138.0,,0.643253,,1477560.0,,0.261042,,762608.0,,0.126523,,447311.0,,0.00502364,,44424.5,,0.413498,,1068820.0,,0.412326,,1066570.0,
CR+CIP/LFM+DUC/FC/HBET:1-7,74.5978,42.9352,0.0020483,,15370.1,,0.023215200000000002,,70012.3,,0.06765750000000001,,136691.0,,0.0221051,,66874.8,,0.317889,,386984.0,,0.118648,,198012.0,,0.0486464,,109827.0,,0.00155166,,13174.4,,0.21162199999999998,,292816.0,,0.21034899999999998,,291594.0,
